channel_id,title,description,published_at,subscriber_count,video_count,view_count,region
UCl-LwKb3m8uJ3TXqAfeVHnw,High Tech RJ,"Welcome to our tech channel! 👨‍💻
Here, you'll find a variety of technology-related videos, including unboxing, tech updates, news, reviews of the latest gadgets, and smartphones, and discussions on new technology trends. Your feedback is highly valuable to us, so please share any suggestions or concerns you may have. We greatly appreciate your love and support as we strive to grow and improve.

Business: worldtechies98@gmail.com ",2022-09-24 14:40:57.499201+00:00,57400.0,546.0,29908445.0,IN
UCMiJRAwDNSNzuYeN2uWa0pA,Mrwhosetheboss,"Let's become the Greatest Tech Community on the Planet 🌍

I'm Arun Maini, I'm a 27 year old Economics graduate whose life's passion is Technology, and I'm on a mission to make the most FUN and USEFUL Tech videos on the Planet! 🙏



",2011-04-20 12:10:24+00:00,19300000.0,1717.0,5779980702.0,GB
UCBJycsmduvYEL83R_U4JriQ,Marques Brownlee,"MKBHD: Quality Tech Videos | YouTuber | Geek | Consumer Electronics | Tech Head | Internet Personality!

business@MKBHD.com

NYC",2008-03-21 15:25:54+00:00,19300000.0,1674.0,4408942571.0,US
UCdp6GUwjKscp5ST4M4WgIpw,TechWiser,"Founded in 2012, TechWiser helps people to solve common tech-related problems in fun and simple way.

This channel contains product affiliate links from Amazon. We may receive a commission if you make a purchase after clicking on one of these links. 

",2011-09-11 14:10:00+00:00,2160000.0,1222.0,583759627.0,IN
UCZplcq7yAkOmNHcw44zCWvw,Tech Padd,"Hi Everyone My Self  Santosh Kumar.

Welcome to our channel! Here, we are dedicated to providing you with the latest tech and gadget reviews, including product suggestions and buying guides.

Whether you're looking for a new smartphone, laptop, smart home device or gaming gear, we've got you covered.

We also share tips and tricks to help you get the most out of your tech. 

Subscribe now for all your tech needs!🔔

Business Inquiry: techpaddbusiness@gmail.com

My Youtube journey:-
                     
                      0 to 100                      (29/11/2022)
                  500 to 1000                   (05/05/2023)
                1000 to 2000                   (15/06/2023)
                5000 to 6000                   (27/04/2024)
                6000 to 7000                            ?
",2022-08-10 16:16:41.823293+00:00,7940.0,280.0,6625529.0,IN
UCXUJJNoP1QupwsYIWFXmsZg,Tech Burner,Subscribe 🔥,2014-09-26 18:24:03+00:00,11900000.0,1340.0,2150794365.0,IN
UCEPL07qzVsOcHd3sMUws65g,Trakin Tech,"Trakin Tech is one of the fastest growing Youtube Channel Founded by Arun Prabhudesai that features daily videos on Smartphone & Gadget Reviews, Unboxing videos, breaking Tech Stories and Tech News.

We do not contact anyone from ""@gmail.com"" All our communications are from ""@trak.in"" email address. So please beware and do not entertain any Gmail addresses

We upload videos everyday!

For Business and Partnerships: business@trak.in

This Channel is owned, operated, and managed by, Armoks Media Private Limited.

Note: Copying or Reproduction of content from this channel is strictly prohibited.
You can find Arun Prabhudesai on Twitter at https://twitter.com/8ap
",2011-11-02 02:58:54+00:00,14500000.0,3999.0,2712781737.0,IN
UC1jamGIyczz9idCjXPjEe6Q,Gravity,"On this channel you can see interesting information in the form of beautiful animations. I used to run the ""Гравитация"" Channel in Russian.
I do not want to repeat the video on the old channel only in English. 
I will only share with you by preparing new and original videos.
",2022-02-18 09:10:39.710400+00:00,889000.0,193.0,192194201.0,US
UCdoDYkupTElV62K7ttA_E4w,TechBar,"I Make Quality Tech Videos! 
Subscribe and Join #TechBarArmy

Business Inquiry: sanchit@techbar.in",2012-02-25 15:25:58+00:00,4980000.0,1456.0,1399597251.0,IN
UCOhHO2ICt0ti9KAh-QHvttQ,Technical Guruji,"नमस्कार दोस्तों, आपका बहुत बहुत स्वागत है हमारे चैनल ""Technical Guruji"" में, मैंने यह चैनल मेरे उन सभी दोस्तों के लिए बनाया है जो टेक्नोलॉजी के बारे में अपनी भाषा में जानना चाहते है, ""Technical Guruji"" चैनल में आपको रोज़ाना एक नयी वीडियो मिलेगी जहा मैं कोशिश करूँगा आपको मोबाइल और कंप्यूटर की दुनिया के बारे में कुछ जरुरी बातें बताने की| 
Hello friends, Welcome to ""Technical Guruji"", I created this channel on 18th October 2015, my motive behind creating this channel is to make easy to understand, Tech Videos in Hindi, and I want each and every individual whoever is interested in technology to be able to understand it in the easiest possible way. I post two videos daily, on topics that cover latest technology and tech news. Please SUBSCRIBE to Technical Guruji, Thanks. जय हिन्द, वन्दे मातरम|

For Business enquiries: business@technicalguruji.in
IGNORE e-mails sent to you from any non @technicalguruji.in e-mail addresses.
I do not provide tech support over e-mail.",2015-10-19 06:17:46+00:00,23600000.0,5538.0,3731457837.0,IN
UCIrrRLyFMVmmL9NDAU2obJA,SuperSaf,"SuperSaf TV is one of UK's largest Technology Review Channels, hosted by Safwan AhmedMia (SuperSaf) bringing news, views and reviews of the latest and most innovative technology on the consumer market. SUBSCRIBE for regular videos!

If you'd like to send products/items/fan mail use the address below.

►SEND STUFF TO:

SuperSaf Limited,
LCB Depot,
31 Rutland Street,
Leicester,
LE1 1RE,
UK

►For business inquiries ONLY please use the email below:",2011-08-21 20:07:18+00:00,2090000.0,1154.0,466740888.0,GB
UCkm0j0CQdElEFtWw7agfOlA,Trakin Shorts,"Trakin Shorts brings you short videos that show you behind the scenes, bloopers and many more fun things that happen with Trakin Family!
You are absolutely going to enjoy these bite sized videos!

For Business and Partnerships: business@trak.in

This Channel is owned, operated, and managed by, Armoks Media Private Limited.
",2021-04-07 08:53:24.206451+00:00,2650000.0,878.0,1498207978.0,IN
UCiwvXXiPYNBMoCOZobw7UXw,Jersu,"Tecnologia, vlogs, conteúdo de qualidade e dentre outras coisa, inscreva-se pois você não vai se arrepender! tudo aqui é feito com uma produção que vale a pena receber no seu feed! 
_______________________________________________________________

Prazer, eu sou o jersu, bem vindo! ;)

Gostou do canal? então Inscreva-se e veja os vídeos e compartilhe com seus amigos! ;)



Disponível para todo território nacional e até internacional.
Uso de imagem, produção de conteúdo, divulgação de produto e etc..

Para consultas empresariais: contatojersu@gmail.com",2013-01-25 16:27:23+00:00,1470000.0,2221.0,190212361.0,BR
UCTB6wXk6YYP11Apxufyjllw,Owaiz,"Hi, I'm Owaiz I will bring for you one of the coolest gadgets which are used in daily life ",2022-08-17 14:12:36.593369+00:00,5720.0,68.0,1824364.0,
UCieToxYxnNwgGjqaE4w8F9Q,Rv,"Helllo Dosto Aapko Is Channel me Unboxing & Comparisons Videos Milengi to Subscribe Karlijiye Or koi baat ko comments ya Mail me puchlena..

Business - 17randomvideos@gmail.com",2018-01-05 14:58:52+00:00,1390000.0,3207.0,385539824.0,IN
UCn7DATpF0Nk-YJmjw4gMwfg,Trakin Tech English,"Trakin Tech English brings you the most happening Tech News related to Smartphones, gadgets and everything around Tech and Telecom space in the most fun & engaging way. We are sure you will love the way deliver Tech News. Along with Tech News we will also bring you Unboxing, review and comparisons of smartphones and Gadgets - The videos are anchored by Arun Prabhudesai, who has been in Tech space for more than 20 years and has seen an era when there were no mobile phones around and internet was used by just a selected few. The insights you will get here will be unmatched - and thats a promise!

Trakin Tech English Channel is addition to portfolio of many online web properties which include flagship portal - http://trak.in, Trakin Tech Hindi Youtube Channel. 

For Business and Partnerships: business@trak.in

This Channel is owned, operated, and managed by, Armoks Media Private Limited.
Note: Copying or Reproduction of content from this channel is strictly prohibited.",2017-10-27 16:48:43+00:00,601000.0,860.0,130332700.0,IN
UCJ7pcn4rjbPsOCpvsYX3DsQ,BizuTech,"📩: jorgebizutech@gmail.com

👾Setup👾
Celular: iPhone 13 / Galaxy A51 / J5 Prime (Cobaia)
Microfone: Boya BY-M1
Iluminação: Ring Light 12 Pol.",2022-08-15 18:34:55.074392+00:00,74600.0,422.0,28099307.0,BR
UC1u-jCF73ZaqPaoJ_mnjWGQ,Science and Knowledge,"The basic idea of the ""YouTube Project Science and Knowledge"" is to convey to the Internet and especially YouTube User Community, as it is possible more detailed and complete information on smartphones and other latest technologies coming in the future.

In addition, ""Science and Knowledge YouTube Channel"" offers you the most comprehensive reviews of the smartphones, tests, and comparisons. The authors of this YouTube Channel is also written important articles about software products, games, and various companies smartphones.

""Science and Knowledge YouTube Channel"" is a unique resource that can provide you with relevant information on any mobile phones, smartphones, and communicators.

For Sponsered Videos Please Contact: scienceandknowledgeteam@gmail.com",2015-11-19 11:56:33+00:00,592000.0,2271.0,50859752.0,PK
